raw name,cleaned name,first_appearance,last_appearance,count,title
Isabelle Brault,Isabelle Brault,2010-10-07,2024-06-21,4,"Chief, Employment and Education"
Isabelle Bucanan,Isabelle Buchannan,2024-08-02,2024-08-02,1,Senior Policy Advisor
Isabelle Buchanan,Isabelle Buchanan,2023-09-19,2025-05-27,122,"Special Assistant, Policy"
Isabelle Buchannan,Isabelle Buchannan,2024-01-10,2024-01-22,2,Senior Policy Advisor
Isabelle Charest,Isabelle Charest,2021-05-21,2021-05-21,1,Member of Parliament
Isabelle Cholette,Isabelle Cholette,2023-03-15,2023-03-15,1,Acting Senior Program Analyst
Isabelle Courchesne,Isabelle Courchesne,2024-11-22,2024-11-22,5,Policy Advisor
Isabelle Daoust,Isabelle Daoust,2017-05-15,2025-02-27,4,Senior Policy Advisor
Isabelle Depault,Isabelle Depault,2022-01-28,2023-10-18,2,Senior Policy Analyst
Isabelle Desjardins,Isabelle Desjardins,2024-10-30,2024-10-30,1,Controls Development Engineer
Isabelle Desmarrais,Isabelle Desmarrais,2018-10-29,2018-10-29,1,"Assistant Deputy Minister, Science and Technology"
Isabelle Desmarti,Isabelle Desmarti,2022-06-28,2022-06-28,1,Assistant Deputy Minister
Isabelle Desmartis,Isabelle Desmartis,2018-04-09,2020-06-19,7,"Chief Executive Officer | Assistant Deputy Minister, Science and Technology"
Isabelle Doucet,Isabelle Doucet,2024-02-01,2024-02-01,1,Deputy Chief of Staff
Isabelle Genest,Isabelle Genest,2020-07-06,2020-07-06,1,Advisor
Isabelle Gervais,Isabelle Gervais,2022-08-30,2025-01-21,9,"Deputy Commissioner, Compliance"
Isabelle Gingras,Isabelle Gingras,2016-06-08,2016-06-08,1,Vice President
Isabelle Grenier,Isabelle Grenier,2021-07-07,2024-03-20,35,"Senior Advisor, Regional Affairs"
Isabelle Hddon,Isabelle Hddon,2023-04-19,2023-04-19,1,President and CEO
Isabelle Hudon,Isabelle Hudon,2019-06-26,2022-11-04,11,Ambassador of Canada to France
Isabelle Hurley,Isabelle Hurley,2022-01-10,2025-05-30,306,"Special Assistant, ATL Desk"
Isabelle Isabelle,Isabelle Isabelle,2024-02-21,2024-02-21,1,"Special Assistant, Policy"
Isabelle Jacob,Isabelle Jacob,2016-07-29,2016-10-26,7,Parliamentary Secretary
Isabelle Jacque,Isabelle Jacques,2022-01-27,2022-01-27,1,Assistant Deputy Minister
Isabelle Jacques,Isabelle Jacques,2021-09-16,2023-05-10,66,Assistant Deputy Minister
Isabelle Jaques,Isabelle Jacques,2022-07-18,2022-09-07,2,Assistant Deputy Minister
Isabelle Julien,Isabelle Julien,2015-03-16,2023-04-25,3,Director
Isabelle Laberge,Isabelle Laberge,2018-06-29,2022-12-01,4,Senior Director
Isabelle Laliberte,Isabelle Laliberte,2023-10-30,2025-01-23,39,Policy Advisor
Isabelle Landry,Isabelle T. Landry,2023-07-31,2023-07-31,1,Senior Program Officer
Isabelle Lapointe,Isabelle Lapointe,2020-05-21,2020-05-21,1,"Director, Parliamentary Affairs"
Isabelle Latulippe,Isabelle Latulippe,2024-09-10,2024-09-10,1,Director
Isabelle Laurin,Isabelle Laurin,2023-05-12,2023-10-04,2,Policy Advisor
Isabelle Mainville,Isabelle Mainville,2016-03-22,2016-03-22,1,"Advisor, Department"
Isabelle Major,Isabelle Major,2008-09-19,2008-09-19,1,Program Officer
Isabelle Mcleod,Isabelle Mcleod,2021-02-22,2021-02-22,1,Chief of Staff
Isabelle Michaud-germain,Isabelle Michaud-germain,2023-12-12,2023-12-12,1,Senior Trade Policy Analyst
Isabelle Mondou,Isabelle Mondou,2020-07-29,2025-05-15,193,Deputy Minister
Isabelle Mondu,Isabelle Mondou,2025-02-25,2025-02-25,1,Deputy Minister
Isabelle Moo Sang,Isabelle Moo Sang,2012-07-26,2012-07-26,1,Policy Officer
Isabelle Morin,Isabelle Morin,2011-09-02,2015-06-03,64,Member of Parliament
Isabelle Nimick,Isabelle Nimick,2021-07-08,2021-07-08,1,Intern
Isabelle Ouellet,Isabelle Ouellet,2018-05-28,2018-05-28,1,"Director, IM/IT Security"
Isabelle Paroulx,Isabelle Paroulx,2024-07-31,2024-08-12,2,"Manager, External Relations"
