raw name,cleaned name,first_appearance,last_appearance,count,title
Heather Leclerc,Heather Leclerc,2017-07-14,2017-07-14,1,Chief
Heather Limburg,Heather Limburg,2021-06-24,2021-06-24,1,Epidemiologist
Heather Loth-bown,Heather Loth-bown,2017-04-13,2017-04-13,1,Vice President
Heather Lunn,Heather Lunn,2021-01-28,2021-01-28,1,Program Officer
Heather Lynch,Heather Lynch,2021-05-12,2024-04-18,3,Manager | Senior Policy Advisor
Heather Macdonald,Heather Macdonald,2021-06-30,2022-08-15,4,Advisor
Heather Maclean,Heather Maclean,2023-04-24,2023-04-24,1,Assistant to the Deputy Minister
Heather Macphail,Heather Macphail,2023-03-03,2023-07-28,4,Regional Executive
Heather Macpherson,Heather Mcpherson,2020-05-04,2025-02-24,4,Member of Parliament
Heather Mcbride,Heather Mcbride,2024-05-22,2024-05-22,1,"Acting Deputy Director, Nutrition"
Heather Mccready,Heather Mccready,2018-05-29,2024-11-06,7,"Director General, Legislative and Regulatory Affairs"
Heather Mclean,Heather Mclean,2019-02-07,2024-07-29,19,Assistant Deputy Minister
Heather Mcpherson,Heather Mcpherson,2019-12-09,2025-06-03,364,Member of Parliament
Heather Mcvetty,Heather Mcvetty,2023-08-15,2023-08-15,1,"Advisor, Telecommunications"
Heather Meek,Heather Meek,2020-07-30,2022-03-23,5,Senior Policy Analyst
Heather Messera,Heather Messera,2024-01-09,2024-01-09,1,Congressional Relations Officer
Heather Michaud,Heather Michaud,2021-04-09,2022-01-24,2,Assistant Director
Heather Miller,Heather Miller,2017-07-28,2017-07-28,1,Director
Heather Moriarty,Heather Moriarty,2016-02-18,2023-09-26,8,Director
Heather Mustoe,Heather Mustoe,2021-09-23,2021-10-18,2,Senior Partnership Lead
Heather O'mara,Heather Omara,2021-09-08,2022-08-24,11,Counsel
Heather Patterson,Heather Patterson,2023-02-10,2023-06-14,3,"Deputy Director, Middle East, Europe and North Africa"
Heather Pherson,Heather Pherson,2020-02-04,2020-02-04,1,Member of Parliament
Heather Poitras,Heather Poitras,2023-08-31,2023-08-31,1,Elder in Residence
Heather Porter,Heather Porter,2018-03-28,2018-05-17,5,Policy Advisor
Heather Primeau,Heather Primeau,2014-10-01,2014-10-01,1,Director General
Heather Ryan,Heather Ryan,2018-11-28,2018-11-28,1,Policy and Program Analyst
Heather Shearer,Heather Shearer,2022-01-28,2024-11-20,4,Policy and Program Manager
Heather Sheehy,Heather Sheehy,2018-05-25,2019-09-11,5,Associate Assistant Deputy Minister
Heather Simmons,Heather Simmons,2020-08-20,2020-08-20,1,"Director, Product Assessment and Environmental Assessment Directorate"
Heather Smeeton,Heather Smeeton,2024-04-19,2024-04-19,1,"First Secretary, Finance Counsellor"
Heather Smith,Heather Smith,2009-06-29,2018-11-06,106,"Vice President, Operations"
Heather Spencer,Heather Spencer,2016-01-21,2016-01-21,1,Senior Policy Advisor
Heather Stager,Heather Stager,2021-07-14,2021-07-14,1,Senior Analyst
Heather Throop,Heather Throop,2010-12-07,2010-12-07,1,Director General
Heather Upton-roy,Heather Upton-roy,2020-12-10,2020-12-10,1,Constituency Assistant
Heather Watson,Heather Watson,2020-03-23,2023-04-19,2,Senior Program Officer
Heather Wood,Heather Wood,2021-01-07,2024-06-28,4,"Director, International Fisheries Policy"
Heather Woods,Heather Wood,2024-07-12,2024-07-12,1,"Director, International Fisheries Policy"
Heather Zaleski,Heather Zaleski,2023-05-25,2023-05-25,1,Parliamentary Assistant
Heba Jibril,Heba Jibril,2020-02-18,2022-10-28,6,Parliamentary Assistant
Hector Lopez-negrete,Hector Lopez-negrete,2017-08-15,2017-08-15,1,Executive Assistant
Hector Vera,Hector Vera,2014-06-03,2018-05-29,6,Parliamentary Assistant
Heddy Fry,Hedy Fry,2011-10-20,2012-02-08,3,Member of Parliament
Hedi Fry,Hedy Fry,2011-10-04,2011-10-04,1,Member of Parliament
Hedrik Brakel,Hendrick Brakel,2018-02-13,2018-02-13,1,Senior Policy Advisor
Hedy Church,Hedy Church,2013-11-05,2013-11-05,1,Member of Parliament
Hedy Frey,Hedy Fry,2014-03-07,2014-03-07,1,Member of Parliament
Hedy Fry,Hedy Fry,2009-02-10,2025-03-03,472,Member of Parliament
Heidi Craswell,Heidi Craswell,2020-06-24,2020-06-24,1,Manager | Senior Policy Advisor
Heidi Ertl,Heidi Ertl,2023-06-15,2023-06-15,1,Assistant Director
Heidi Hofstad,Heidi Hofstad,2015-01-23,2015-01-23,1,Communications Manager
Heidi Hulan,Heidi Hulan,2022-06-06,2024-06-07,13,Assistant Deputy Minister
Heidi Jackson,Heidi Jackson,2018-02-20,2018-02-20,1,Executive Director
Heidi Kirby,Heidi Kirby,2020-01-16,2020-01-16,1,Constituency Assistant
Heidi Macdonald,Heidi Macdonald,2023-10-25,2023-10-25,1,Manager
Heidy Kirby,Heidy Kirby,2021-02-09,2021-02-09,2,Assistant
Helaine Michaud,Helaine Michaud,2014-02-04,2014-02-04,2,Member of Parliament
Helem Mcdonald,Helen Mcdonald,2009-10-16,2009-10-16,1,Assistant Deputy Minister
Helen Barret,Helen Barret,2012-01-25,2012-01-25,1,Program Officer
Helen Borges,Helena Borges,2011-10-18,2015-10-09,2,Associate Deputy Minister
Helen Broom,Helen Broom,2020-09-22,2023-09-28,5,Economist | Advisor
Helen Brown,Helen Brown,2010-03-10,2010-03-10,2,Director General
Helen C Kennedy,Helen Kennedy,2016-07-14,2016-07-14,1,Director General
Helen C. Kennedy,Helen C. Kennedy,2010-10-21,2013-05-10,3,Deputy Director General
Helen Cassie,Helen Cassie,2018-01-30,2018-01-30,1,Member's Assistant
Helen Cutts,Helen Cutts,2011-05-13,2016-04-12,34,Vice President
Helen Davies,Helen Davies,2022-05-06,2022-05-06,1,"Executive Director, British Columbia and Yukon"
Helen El-koura,Helen El-koura,2021-06-24,2021-06-24,1,Senior Advisor to Assistant Deputy Minister
Helen Gao,Helen Gao,2019-02-07,2025-03-12,165,Policy Advisor
Helen Gosselin,Helen Gosselin,2010-02-16,2010-02-16,1,Deputy Minister
Helen Graham,Helen Graham,2009-03-26,2009-03-26,1,"Acting Director, Economic Development"
Helen Harrison,Helen Harrison,2024-10-24,2024-10-24,3,Manager
Helen Joseph,Helen Joseph,2010-09-14,2013-10-04,10,Director
Helen Kennedy,Helen Kennedy,2009-06-09,2018-04-17,13,Director General
Helen Lam,Helen Lam,2016-05-03,2016-05-03,2,Policy Analyst
Helen Laurendeau,Helene Laurendeau,2014-03-03,2019-09-27,4,Deputy Minister
Helen Laverdiere,Helen Laverdiere,2011-09-28,2017-11-29,5,Member of Parliament
